"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
448,"Qian Ren 3: Yan Zhi Da Zuo Zhan",2017,837791,306710033,307547824
449,"The Pursuit of Happyness",2006,162586036,144725057,307311093
450,"The Fault in Our Stars",2014,124872350,182294484,307166834
451,"Rise of the Guardians",2012,103412758,203488144,306900902
452,"Chicago",2002,170687518,136083027,306770545
453,"The Blind Side",2009,255959475,49746319,305705794
454,"Annabelle: Creation",2017,102092201,203292664,305384865
455,"Wrath of the Titans",2012,83670083,221600000,305270083
456,"Wonder",2017,132422809,172181903,304604712
457,"A Good Day to Die Hard",2013,67349198,236900000,304249198
458,"101 Dalmatians",1996,136189294,168010706,304200000
459,"Skyscraper",2018,68420120,235695414,304115534
460,"Mulan",1998,120620254,182879746,303500000
461,"Liar Liar",1997,181410615,121300000,302710615
462,"G.I. Joe: The Rise of Cobra",2009,150201498,152267519,302469017
463,"Passengers",2016,100014699,202224973,302239672
464,"Hook",1991,119654823,181200000,300854823
465,"Rambo: First Blood Part II",1985,150415432,149984568,300400000
466,"Rocky IV",1985,127873716,172500000,300373716
467,"Superman",1978,134218018,165981982,300200000
468,"Van Helsing",2004,120150546,180000000,300150546
469,"Horton Hears a Who",2008,154529439,144948447,299477886
470,"Shutter Island",2010,128012934,171448848,299461782
471,"My Best Friend's Wedding",1997,126813153,172110266,298923419
472,"Stuart Little",1999,140015224,158800000,298815224
473,"Ocean’s 8",2018,140218711,156897265,297115976
474,"Look Who's Talking",1989,140088813,157011187,297100000
475,"X-Men",2000,157299717,139572650,296872367
476,"Austin Powers in Goldmember",2002,213117789,83220874,296338663
477,"Miss Peregrine’s Home for Peculiar Children",2016,87242834,208744042,295986876
478,"Resident Evil: Afterlife",2010,60128566,235745624,295874190
479,"Ghostbusters",1984,242212467,53000000,295212467
480,"The Divergent Series: Insurgent",2015,130179072,164896810,295075882
481,"Sex and the City 2",2010,95347692,199333086,294680778
482,"Dangal",2016,12391761,282262857,294654618
483,"Doctor Dolittle",1998,144156605,150000000,294156605
484,"G-Force",2009,119436770,173381071,292817841
485,"Pacific Rim: Uprising",2018,59874525,231055623,290930148
486,"The Green Mile",1999,136801374,153900000,290701374
487,"Salt",2010,118311368,172339126,290650494
488,"Ferdinand",2017,84410380,205448783,289859163
489,"The Departed",2006,132384315,157276304,289660619
